experiment_id,experiment_name,data_fraction,selection_method,ordering,eval_loss,train_loss,wall_clock_minutes,peak_gpu_memory_mb,n_train_examples,n_eval_examples,trainable_params,total_params,trainable_pct,seed
E1,full_baseline,1.0,full,random,1.1844538450241089,1.2218153587894736,68.62,6887.6,49401,2601,4399104,498431872,0.8826,42
E2,random50_random_order,0.5,random,random,1.1957964897155762,1.236928045440832,33.26,6887.6,24700,2601,4399104,498431872,0.8826,42
E3,adaptive50_random_order,0.5,adaptive,random,1.2046293020248413,1.1542563734894589,28.38,6887.5,24700,2601,4399104,498431872,0.8826,42
E4,adaptive50_curriculum,0.5,adaptive,curriculum,1.2041741609573364,1.154269584102334,28.44,6887.5,24700,2601,4399104,498431872,0.8826,42
E5,random50_curriculum,0.5,random,curriculum,1.1957060098648071,1.2363436802681247,33.24,6887.6,24700,2601,4399104,498431872,0.8826,42
A1,ablation_diversity_only,0.5,adaptive,random,1.2046276330947876,1.154256,28.37,6887.5,24700,2601,4399104,498431872,0.8826,42
A2,ablation_complexity_only,0.5,adaptive,random,1.2046276330947876,1.1542601288909122,28.31,6887.5,24700,2601,4399104,498431872,0.8826,42
